Energy_keV,Energy_eV,Ru_C_Reflectivity,W_B4C_Reflectivity
6.2666333166583295,6266.633316658329,,
6.3064032016008005,6306.4032016008005,,
6.346173086543272,6346.173086543273,,
6.385942971485743,6385.942971485743,,
6.425712856428214,6425.712856428215,,
6.4654827413706855,6465.482741370685,,
6.505252626313157,6505.252626313158,,
6.545022511255628,6545.022511255628,,
6.584792396198099,6584.7923961981,,
6.62456228114057,6624.56228114057,,
6.664332166083042,6664.3321660830425,,
6.704102051025513,6704.102051025513,,
6.743871935967984,6743.871935967984,,
6.783641820910455,6783.641820910456,,
6.823411705852927,6823.411705852927,,
6.863181590795398,6863.181590795399,,
6.902951475737869,6902.951475737869,,
6.94272136068034,6942.721360680341,,
6.982491245622811,6982.491245622811,,
7.022261130565283,7022.261130565284,,
7.062031015507754,7062.031015507754,,
7.101800900450225,7101.8009004502255,,
