Energy_keV,Ru_C_Reflectivity,W_B4C_Reflectivity
4.726078799249531,1e-08,1e-08
4.775797373358349,1e-08,1e-08
4.825515947467167,1e-08,1e-08
4.875234521575985,1e-08,1e-08
4.924953095684803,1e-08,1e-08
4.974671669793621,1e-08,1e-08
5.024390243902439,1e-08,1e-08
5.074108818011257,1e-08,1e-08
5.123827392120075,1e-08,1e-08
5.173545966228893,1e-08,1e-08
5.223264540337711,1e-08,1e-08
5.272983114446529,1e-08,1e-08
5.322701688555347,1e-08,1e-08
5.372420262664165,1e-08,1e-08
5.422138836772983,1e-08,1e-08
5.471857410881801,1e-08,1e-08
5.521575984990619,1e-08,1e-08
5.571294559099437,1e-08,1e-08
5.621013133208256,1e-08,1e-08
5.670731707317073,1e-08,1e-08
5.720450281425891,1e-08,1e-08
5.770168855534709,1e-08,1e-08
5.8198874296435275,1e-08,1e-08
5.869606003752345,1e-08,1e-08
5.919324577861163,1e-08,1e-08
5.969043151969982,1e-08,1e-08
6.018761726078799,1e-08,1e-08
6.068480300187617,1e-08,1e-08
6.118198874296436,1e-08,1e-08
6.1679174484052535,1e-08,1e-08
6.217636022514071,1e-08,1e-08
6.267354596622889,1e-08,1e-08
6.317073170731708,1e-08,1e-08
6.366791744840525,1e-08,1e-08
6.416510318949343,1e-08,1e-08
6.466228893058162,1e-08,1e-08
6.5159474671669795,1e-08,1e-08
6.565666041275797,1e-08,1e-08
6.615384615384616,1e-08,1e-08
6.665103189493434,1e-08,1e-08
6.714821763602251,1e-08,1e-08
6.764540337711069,1e-08,1e-08
6.814258911819888,1e-08,1e-08
6.8639774859287055,1e-08,1e-08
6.913696060037523,1e-08,1e-08
6.963414634146342,1e-08,1e-08
7.01313320825516,1e-08,1e-08
7.062851782363977,1e-08,1e-08
7.112570356472795,1e-08,1e-08
7.162288930581614,1e-08,1e-08
7.2120075046904315,1e-08,1e-08
7.261726078799249,1e-08,1e-08
7.311444652908068,1e-08,1e-08
7.361163227016886,1e-08,1e-08
7.410881801125703,1e-08,1e-08
